# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train, win_rate, training_time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,size_11_NN_11,1,proportional,cuda,0.00025,Adam,3000,0.01,1000,811.0,0.189,0.241,40.7,0.01,0.189,145.40620136260986
11,size_11_NN_11,2,proportional,cuda,0.00025,Adam,6000,0.01,1000,905.0,0.095,0.17000000000000004,45.3,0.01,0.095,288.01378536224365
11,size_11_NN_11,3,proportional,cuda,0.00025,Adam,9000,0.01,1000,923.0,0.077,0.134,46.2,0.01,0.077,439.9078679084778
11,size_11_NN_11,4,proportional,cuda,0.00025,Adam,12000,0.01,1000,906.0,0.094,0.15500000000000003,45.3,0.01,0.094,584.7388343811035
11,size_11_NN_11,5,proportional,cuda,0.00025,Adam,15000,0.01,1000,416.0,0.584,0.627,22.0,0.01,0.584,728.0275421142578
11,size_11_NN_11,6,proportional,cuda,0.00025,Adam,18000,0.01,1000,837.0,0.163,0.20999999999999996,41.9,0.01,0.163,858.0150029659271
11,size_11_NN_11,7,proportional,cuda,0.00025,Adam,21000,0.01,1000,918.0,0.082,0.126,45.9,0.01,0.082,1021.6254706382751
11,size_11_NN_11,8,proportional,cuda,0.00025,Adam,24000,0.01,1000,900.0,0.1,0.243,45.0,0.01,0.1,1163.833523273468
11,size_11_NN_11,9,proportional,cuda,0.00025,Adam,27000,0.01,1000,344.0,0.656,0.6930000000000001,18.6,0.01,0.656,1313.8176023960114
11,size_11_NN_11,10,proportional,cuda,0.00025,Adam,30000,0.01,1000,218.0,0.782,0.794,12.5,0.01,0.782,1451.3149092197418
11,size_11_NN_11,11,proportional,cuda,0.00025,Adam,33000,0.01,1000,321.0,0.679,0.7050000000000001,17.5,0.01,0.679,1602.5858561992645
11,size_11_NN_11,12,proportional,cuda,0.00025,Adam,36000,0.01,1000,196.0,0.804,0.819,11.5,0.01,0.804,1750.1577687263489
11,size_11_NN_11,13,proportional,cuda,0.00025,Adam,39000,0.01,1000,43.0,0.957,0.96,4.4,0.01,0.957,1932.3578643798828
11,size_11_NN_11,14,proportional,cuda,0.00025,Adam,42000,0.02,1000,62.0,0.938,0.945,7.7,0.02,0.938,2124.336044549942
11,size_11_NN_11,15,proportional,cuda,0.00025,Adam,45000,0.02,1000,10.0,0.99,0.992,5.3,0.02,0.99,2332.8768985271454
11,size_11_NN_11,16,proportional,cuda,0.00025,Adam,48000,0.03,1000,21.0,0.979,0.981,8.5,0.03,0.979,2514.04851770401
11,size_11_NN_11,17,proportional,cuda,0.00025,Adam,51000,0.04,1000,116.0,0.884,0.886,14.5,0.04,0.884,2685.2984030246735
11,size_11_NN_11,18,proportional,cuda,0.00025,Adam,54000,0.04,1000,47.0,0.955,0.958,11.9,0.04,0.953,2860.9027559757233
11,size_11_NN_11,19,proportional,cuda,0.00025,Adam,57000,0.05,1000,75.0,0.927,0.928,14.9,0.05,0.925,3027.433657884598
11,size_11_NN_11,20,proportional,cuda,0.00025,Adam,60000,0.05,1000,71.0,0.929,0.933,15.1,0.05,0.929,3198.8167130947113
11,size_11_NN_11,21,proportional,cuda,0.00025,Adam,63000,0.05,1000,46.0,0.957,0.956,14.1,0.05,0.954,3365.405450105667
11,size_11_NN_11,22,proportional,cuda,0.00025,Adam,66000,0.060000000000000005,1000,142.0,0.859,0.869,20.2,0.060000000000000005,0.858,3525.8326692581177
11,size_11_NN_11,23,proportional,cuda,0.00025,Adam,69000,0.060000000000000005,1000,108.0,0.895,0.902,18.5,0.060000000000000005,0.892,3687.27458691597
11,size_11_NN_11,24,proportional,cuda,0.00025,Adam,72000,0.060000000000000005,1000,143.0,0.857,0.865,19.9,0.060000000000000005,0.857,3853.9135727882385
11,size_11_NN_11,25,proportional,cuda,0.00025,Adam,75000,0.060000000000000005,1000,112.0,0.889,0.895,18.5,0.060000000000000005,0.888,4019.2320420742035
11,size_11_NN_11,26,proportional,cuda,0.00025,Adam,78000,0.060000000000000005,1000,38.0,0.964,0.963,16.3,0.060000000000000005,0.962,4185.654127120972
11,size_11_NN_11,27,proportional,cuda,0.00025,Adam,81000,0.07,1000,132.0,0.872,0.879,21.7,0.07,0.868,4345.4624812603
11,size_11_NN_11,28,proportional,cuda,0.00025,Adam,84000,0.07,1000,223.0,0.78,0.79,24.5,0.07,0.777,4503.437410593033
11,size_11_NN_11,29,proportional,cuda,0.00025,Adam,87000,0.07,1000,121.0,0.885,0.886,21.3,0.07,0.879,4661.736233949661
11,size_11_NN_11,30,proportional,cuda,0.00025,Adam,90000,0.07,1000,105.0,0.9,0.902,20.4,0.07,0.895,4825.818775177002
11,size_11_NN_11,31,proportional,cuda,0.00025,Adam,93000,0.07,1000,74.0,0.933,0.9390000000000001,19.6,0.07,0.926,4991.909912824631
11,size_11_NN_11,32,proportional,cuda,0.00025,Adam,96000,0.07,1000,72.0,0.932,0.933,19.6,0.07,0.928,5154.89400100708
11,size_11_NN_11,33,proportional,cuda,0.00025,Adam,99000,0.07,1000,96.0,0.908,0.909,20.5,0.07,0.904,5320.4116859436035
11,size_11_NN_11,34,proportional,cuda,0.00025,Adam,102000,0.07,1000,220.0,0.789,0.8,24.6,0.07,0.78,5480.874126434326
11,size_11_NN_11,35,proportional,cuda,0.00025,Adam,105000,0.07,1000,93.0,0.914,0.914,20.2,0.07,0.907,5642.847007274628
11,size_11_NN_11,36,proportional,cuda,0.00025,Adam,108000,0.07,1000,113.0,0.892,0.895,21.1,0.07,0.887,5810.234550714493
11,size_11_NN_11,37,proportional,cuda,0.00025,Adam,111000,0.07,1000,85.0,0.923,0.922,19.9,0.07,0.915,5974.293696641922
11,size_11_NN_11,38,proportional,cuda,0.00025,Adam,114000,0.07,1000,112.0,0.891,0.897,20.9,0.07,0.888,6138.325097322464
11,size_11_NN_11,39,proportional,cuda,0.00025,Adam,117000,0.07,1000,57.0,0.947,0.946,19.1,0.07,0.943,6301.552641153336
11,size_11_NN_11,40,proportional,cuda,0.00025,Adam,120000,0.07,1000,92.0,0.916,0.927,20.2,0.07,0.908,6467.0737109184265
11,size_11_NN_11,41,proportional,cuda,0.00025,Adam,123000,0.07,1000,53.0,0.949,0.956,18.8,0.07,0.947,6634.019197463989
11,size_11_NN_11,42,proportional,cuda,0.00025,Adam,126000,0.07,1000,31.0,0.976,0.97,18.3,0.07,0.969,6798.517744779587
11,size_11_NN_11,43,proportional,cuda,0.00025,Adam,129000,0.08,1000,225.0,0.78,0.792,26.4,0.08,0.775,6957.694477796555
11,size_11_NN_11,44,proportional,cuda,0.00025,Adam,132000,0.08,1000,165.0,0.843,0.85,24.4,0.08,0.835,7121.264765739441
11,size_11_NN_11,45,proportional,cuda,0.00025,Adam,135000,0.08,1000,102.0,0.909,0.917,22.3,0.08,0.898,7285.79456949234
11,size_11_NN_11,46,proportional,cuda,0.00025,Adam,138000,0.08,1000,84.0,0.93,0.928,21.8,0.08,0.916,7450.4042336940765
11,size_11_NN_11,47,proportional,cuda,0.00025,Adam,141000,0.08,1000,94.0,0.916,0.911,22.5,0.08,0.906,7614.275835037231
11,size_11_NN_11,48,proportional,cuda,0.00025,Adam,144000,0.08,1000,88.0,0.938,0.919,22.3,0.08,0.912,7775.781965494156
11,size_11_NN_11,49,proportional,cuda,0.00025,Adam,147000,0.08,1000,74.0,0.937,0.9339999999999999,21.7,0.08,0.926,7939.107403755188
11,size_11_NN_11,50,proportional,cuda,0.00025,Adam,150000,0.08,1000,87.0,0.923,0.918,22.4,0.08,0.913,8106.407495498657
11,size_11_NN_11,51,proportional,cuda,0.00025,Adam,153000,0.08,1000,173.0,0.836,0.838,24.7,0.08,0.827,8268.059960603714
