# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train, win_rate, training_time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,size_7_size_7_NN_11_epoch_178,1,proportional,cuda,0.00025,Adam,3000,0.1,1000,77.0,0.996,0.923,10.3,0.1,0.923,131.05568647384644
7,size_7_size_7_NN_11_epoch_178,2,proportional,cuda,0.00025,Adam,6000,0.1,1000,96.0,0.995,0.904,10.2,0.1,0.904,259.4546263217926
7,size_7_size_7_NN_11_epoch_178,3,proportional,cuda,0.00025,Adam,9000,0.1,1000,105.0,0.996,0.895,10.3,0.1,0.895,383.7326970100403
7,size_7_size_7_NN_11_epoch_178,4,proportional,cuda,0.00025,Adam,12000,0.1,1000,91.0,0.995,0.909,10.1,0.1,0.909,509.53415155410767
7,size_7_size_7_NN_11_epoch_178,5,proportional,cuda,0.00025,Adam,15000,0.1,1000,76.0,0.999,0.924,9.9,0.1,0.924,636.5550811290741
7,size_7_size_7_NN_11_epoch_178,6,proportional,cuda,0.00025,Adam,18000,0.1,1000,108.0,0.99,0.893,10.5,0.1,0.892,762.2619249820709
7,size_7_size_7_NN_11_epoch_178,7,proportional,cuda,0.00025,Adam,21000,0.1,1000,98.0,0.993,0.902,10.4,0.1,0.902,890.3595645427704
7,size_7_size_7_NN_11_epoch_178,8,proportional,cuda,0.00025,Adam,24000,0.1,1000,105.0,0.991,0.895,10.5,0.1,0.895,1016.6262719631195
7,size_7_size_7_NN_11_epoch_178,9,proportional,cuda,0.00025,Adam,27000,0.1,1000,86.0,0.995,0.914,10.3,0.1,0.914,1142.7070634365082
7,size_7_size_7_NN_11_epoch_178,10,proportional,cuda,0.00025,Adam,30000,0.1,1000,93.0,0.994,0.907,10.3,0.1,0.907,1264.9738810062408
7,size_7_size_7_NN_11_epoch_178,11,proportional,cuda,0.00025,Adam,33000,0.1,1000,81.0,0.998,0.919,9.9,0.1,0.919,1391.3338642120361
7,size_7_size_7_NN_11_epoch_178,12,proportional,cuda,0.00025,Adam,36000,0.1,1000,97.0,0.996,0.903,10.4,0.1,0.903,1513.1432673931122
7,size_7_size_7_NN_11_epoch_178,13,proportional,cuda,0.00025,Adam,39000,0.1,1000,89.0,0.99,0.912,10.2,0.1,0.911,1635.1235315799713
7,size_7_size_7_NN_11_epoch_178,14,proportional,cuda,0.00025,Adam,42000,0.1,1000,93.0,0.989,0.908,10.7,0.1,0.907,1756.3036348819733
7,size_7_size_7_NN_11_epoch_178,15,proportional,cuda,0.00025,Adam,45000,0.1,1000,80.0,0.994,0.921,10.3,0.1,0.92,1876.0991640090942
7,size_7_size_7_NN_11_epoch_178,16,proportional,cuda,0.00025,Adam,48000,0.1,1000,82.0,0.995,0.919,10.2,0.1,0.918,2002.1745986938477
7,size_7_size_7_NN_11_epoch_178,17,proportional,cuda,0.00025,Adam,51000,0.1,1000,82.0,0.997,0.918,10.1,0.1,0.918,2126.06338596344
7,size_7_size_7_NN_11_epoch_178,18,proportional,cuda,0.00025,Adam,54000,0.1,1000,78.0,0.996,0.923,10.2,0.1,0.922,2249.5525081157684
7,size_7_size_7_NN_11_epoch_178,19,proportional,cuda,0.00025,Adam,57000,0.1,1000,114.0,0.985,0.886,10.7,0.1,0.886,2373.6466748714447
7,size_7_size_7_NN_11_epoch_178,20,proportional,cuda,0.00025,Adam,60000,0.1,1000,106.0,0.985,0.895,10.7,0.1,0.894,2495.741649866104
7,size_7_size_7_NN_11_epoch_178,21,proportional,cuda,0.00025,Adam,63000,0.1,1000,72.0,0.991,0.928,10.2,0.1,0.928,2620.8440325260162
7,size_7_size_7_NN_11_epoch_178,22,proportional,cuda,0.00025,Adam,66000,0.1,1000,95.0,0.984,0.907,10.4,0.1,0.905,2743.5999295711517
7,size_7_size_7_NN_11_epoch_178,23,proportional,cuda,0.00025,Adam,69000,0.1,1000,104.0,0.991,0.897,10.4,0.1,0.896,2867.1919157505035
7,size_7_size_7_NN_11_epoch_178,24,proportional,cuda,0.00025,Adam,72000,0.1,1000,90.0,0.996,0.91,10.2,0.1,0.91,2989.642431497574
7,size_7_size_7_NN_11_epoch_178,25,proportional,cuda,0.00025,Adam,75000,0.1,1000,73.0,1.0,0.927,10.0,0.1,0.927,3114.83704328537
7,size_7_size_7_NN_11_epoch_178,26,proportional,cuda,0.00025,Adam,78000,0.1,1000,101.0,0.982,0.901,10.8,0.1,0.899,3236.858869791031
7,size_7_size_7_NN_11_epoch_178,27,proportional,cuda,0.00025,Adam,81000,0.1,1000,96.0,0.988,0.907,10.6,0.1,0.904,3360.341552257538
7,size_7_size_7_NN_11_epoch_178,28,proportional,cuda,0.00025,Adam,84000,0.1,1000,106.0,0.983,0.897,10.6,0.1,0.894,3482.9468817710876
7,size_7_size_7_NN_11_epoch_178,29,proportional,cuda,0.00025,Adam,87000,0.1,1000,85.0,0.986,0.916,10.4,0.1,0.915,3604.9015305042267
7,size_7_size_7_NN_11_epoch_178,30,proportional,cuda,0.00025,Adam,90000,0.1,1000,103.0,0.992,0.898,10.3,0.1,0.897,3726.8585257530212
7,size_7_size_7_NN_11_epoch_178,31,proportional,cuda,0.00025,Adam,93000,0.1,1000,100.0,0.996,0.9,10.3,0.1,0.9,3848.16223859787
7,size_7_size_7_NN_11_epoch_178,32,proportional,cuda,0.00025,Adam,96000,0.1,1000,81.0,0.998,0.919,10.1,0.1,0.919,3969.521215200424
7,size_7_size_7_NN_11_epoch_178,33,proportional,cuda,0.00025,Adam,99000,0.1,1000,91.0,0.99,0.91,10.4,0.1,0.909,4088.4847841262817
7,size_7_size_7_NN_11_epoch_178,34,proportional,cuda,0.00025,Adam,102000,0.1,1000,81.0,0.992,0.919,10.3,0.1,0.919,4208.996738910675
7,size_7_size_7_NN_11_epoch_178,35,proportional,cuda,0.00025,Adam,105000,0.1,1000,87.0,0.996,0.914,10.2,0.1,0.913,4329.633340597153
7,size_7_size_7_NN_11_epoch_178,36,proportional,cuda,0.00025,Adam,108000,0.1,1000,99.0,0.998,0.901,10.2,0.1,0.901,4450.918477296829
7,size_7_size_7_NN_11_epoch_178,37,proportional,cuda,0.00025,Adam,111000,0.1,1000,83.0,0.997,0.917,10.1,0.1,0.917,4574.587850570679
7,size_7_size_7_NN_11_epoch_178,38,proportional,cuda,0.00025,Adam,114000,0.1,1000,85.0,0.989,0.916,10.4,0.1,0.915,4695.563209056854
7,size_7_size_7_NN_11_epoch_178,39,proportional,cuda,0.00025,Adam,117000,0.1,1000,95.0,0.995,0.905,10.3,0.1,0.905,4816.41203212738
7,size_7_size_7_NN_11_epoch_178,40,proportional,cuda,0.00025,Adam,120000,0.1,1000,74.0,0.999,0.927,10.1,0.1,0.926,4936.3562252521515
7,size_7_size_7_NN_11_epoch_178,41,proportional,cuda,0.00025,Adam,123000,0.1,1000,87.0,0.996,0.913,10.4,0.1,0.913,5059.004976272583
7,size_7_size_7_NN_11_epoch_178,42,proportional,cuda,0.00025,Adam,126000,0.1,1000,82.0,0.995,0.918,10.1,0.1,0.918,5179.758150339127
7,size_7_size_7_NN_11_epoch_178,43,proportional,cuda,0.00025,Adam,129000,0.1,1000,90.0,0.994,0.91,10.3,0.1,0.91,5300.9536690711975
7,size_7_size_7_NN_11_epoch_178,44,proportional,cuda,0.00025,Adam,132000,0.1,1000,88.0,0.995,0.912,10.1,0.1,0.912,5422.576252937317
7,size_7_size_7_NN_11_epoch_178,45,proportional,cuda,0.00025,Adam,135000,0.1,1000,98.0,0.995,0.902,10.4,0.1,0.902,5544.5694942474365
7,size_7_size_7_NN_11_epoch_178,46,proportional,cuda,0.00025,Adam,138000,0.1,1000,89.0,0.991,0.914,10.4,0.1,0.911,5665.634448051453
7,size_7_size_7_NN_11_epoch_178,47,proportional,cuda,0.00025,Adam,141000,0.1,1000,84.0,0.995,0.916,10.0,0.1,0.916,5786.731405973434
7,size_7_size_7_NN_11_epoch_178,48,proportional,cuda,0.00025,Adam,144000,0.1,1000,87.0,0.991,0.915,10.3,0.1,0.913,5911.2087507247925
7,size_7_size_7_NN_11_epoch_178,49,proportional,cuda,0.00025,Adam,147000,0.1,1000,80.0,0.994,0.92,10.1,0.1,0.92,6031.838072538376
7,size_7_size_7_NN_11_epoch_178,50,proportional,cuda,0.00025,Adam,150000,0.1,1000,84.0,0.997,0.916,10.0,0.1,0.916,6152.614097356796
7,size_7_size_7_NN_11_epoch_178,51,proportional,cuda,0.00025,Adam,153000,0.1,1000,91.0,0.985,0.91,10.6,0.1,0.909,6272.549669981003
7,size_7_size_7_NN_11_epoch_178,52,proportional,cuda,0.00025,Adam,156000,0.1,1000,105.0,0.988,0.896,10.4,0.1,0.895,6393.3753933906555
7,size_7_size_7_NN_11_epoch_178,53,proportional,cuda,0.00025,Adam,159000,0.1,1000,101.0,0.987,0.899,10.7,0.1,0.899,6512.905604124069
7,size_7_size_7_NN_11_epoch_178,54,proportional,cuda,0.00025,Adam,162000,0.1,1000,94.0,0.992,0.906,10.3,0.1,0.906,6635.871205568314
7,size_7_size_7_NN_11_epoch_178,55,proportional,cuda,0.00025,Adam,165000,0.1,1000,82.0,0.994,0.919,10.0,0.1,0.918,6757.182628154755
7,size_7_size_7_NN_11_epoch_178,56,proportional,cuda,0.00025,Adam,168000,0.1,1000,90.0,0.993,0.91,10.3,0.1,0.91,6877.831889390945
7,size_7_size_7_NN_11_epoch_178,57,proportional,cuda,0.00025,Adam,171000,0.1,1000,96.0,0.995,0.904,10.3,0.1,0.904,7001.290832042694
