# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train, win_rate, training_time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,size_11_ResNet34,1,proportional,cuda,0.00025,Adam,3000,0.01,1000,0.0,1.0,1.0,2.4,0.01,1.0,1379.9957897663116
11,size_11_ResNet34,2,proportional,cuda,0.00025,Adam,6000,0.02,1000,1.0,0.999,1.0,5.1,0.02,0.999,2782.730579137802
11,size_11_ResNet34,3,proportional,cuda,0.00025,Adam,9000,0.03,1000,14.0,0.986,0.988,8.1,0.03,0.986,3903.0793919563293
11,size_11_ResNet34,4,proportional,cuda,0.00025,Adam,12000,0.04,1000,78.0,0.922,0.9390000000000001,13.0,0.04,0.922,5059.794240474701
11,size_11_ResNet34,5,proportional,cuda,0.00025,Adam,15000,0.04,1000,227.0,0.773,0.791,18.9,0.04,0.773,6147.964063405991
11,size_11_ResNet34,6,proportional,cuda,0.00025,Adam,18000,0.04,1000,17.0,0.983,0.985,10.6,0.04,0.983,7288.281320333481
11,size_11_ResNet34,7,proportional,cuda,0.00025,Adam,21000,0.05,1000,321.0,0.68,0.6970000000000001,24.6,0.05,0.679,8398.153745651245
11,size_11_ResNet34,8,proportional,cuda,0.00025,Adam,24000,0.05,1000,72.0,0.928,0.9339999999999999,15.3,0.05,0.928,9527.718559980392
11,size_11_ResNet34,9,proportional,cuda,0.00025,Adam,27000,0.05,1000,200.0,0.801,0.8180000000000001,19.6,0.05,0.8,10587.869139909744
11,size_11_ResNet34,10,proportional,cuda,0.00025,Adam,30000,0.05,1000,31.0,0.971,0.971,13.7,0.05,0.969,11681.678132772446
11,size_11_ResNet34,11,proportional,cuda,0.00025,Adam,33000,0.060000000000000005,1000,87.0,0.914,0.927,18.2,0.060000000000000005,0.913,12729.385132551193
