# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,size_5_NN_11,1,proportional,cuda,0.00025,Adam,1000,0.1,100,100.0,0.0,0.06999999999999995,50.0,0.1
5,size_5_NN_11,2,proportional,cuda,0.00025,Adam,2000,0.1,100,99.0,0.01,0.10999999999999999,49.5,0.1
5,size_5_NN_11,3,proportional,cuda,0.00025,Adam,3000,0.1,100,100.0,0.0,0.07999999999999996,50.0,0.1
5,size_5_NN_11,4,proportional,cuda,0.00025,Adam,4000,0.1,100,100.0,0.0,0.040000000000000036,50.0,0.1
5,size_5_NN_11,5,proportional,cuda,0.00025,Adam,5000,0.1,100,99.0,0.01,0.07999999999999996,49.5,0.1
5,size_5_NN_11,6,proportional,cuda,0.00025,Adam,6000,0.1,100,98.0,0.02,0.12,49.0,0.1
5,size_5_NN_11,7,proportional,cuda,0.00025,Adam,7000,0.1,100,97.0,0.03,0.10999999999999999,48.6,0.1
5,size_5_NN_11,8,proportional,cuda,0.00025,Adam,8000,0.1,100,98.0,0.02,0.10999999999999999,49.1,0.1
5,size_5_NN_11,9,proportional,cuda,0.00025,Adam,9000,0.1,100,97.0,0.03,0.10999999999999999,48.5,0.1
5,size_5_NN_11,10,proportional,cuda,0.00025,Adam,10000,0.1,100,96.0,0.04,0.15000000000000002,48.1,0.1
5,size_5_NN_11,11,proportional,cuda,0.00025,Adam,11000,0.1,100,96.0,0.04,0.08999999999999997,48.1,0.1
5,size_5_NN_11,12,proportional,cuda,0.00025,Adam,12000,0.1,100,95.0,0.05,0.10999999999999999,47.6,0.1
5,size_5_NN_11,13,proportional,cuda,0.00025,Adam,13000,0.1,100,93.0,0.07,0.18999999999999995,46.6,0.1
5,size_5_NN_11,14,proportional,cuda,0.00025,Adam,14000,0.1,100,75.0,0.26,0.30000000000000004,38.2,0.1
5,size_5_NN_11,15,proportional,cuda,0.00025,Adam,15000,0.1,100,95.0,0.05,0.12,47.6,0.1
5,size_5_NN_11,16,proportional,cuda,0.00025,Adam,16000,0.1,100,82.0,0.18,0.21999999999999997,41.4,0.1
5,size_5_NN_11,17,proportional,cuda,0.00025,Adam,17000,0.1,100,40.0,0.68,0.63,20.2,0.1
5,size_5_NN_11,18,proportional,cuda,0.00025,Adam,18000,0.1,100,39.0,0.68,0.63,19.6,0.1
5,size_5_NN_11,19,proportional,cuda,0.00025,Adam,19000,0.1,100,24.0,0.8,0.76,15.4,0.1
5,size_5_NN_11,20,proportional,cuda,0.00025,Adam,20000,0.1,100,19.0,0.94,0.81,8.2,0.1
