# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,1,proportional,cuda,0.00025,Adam,1000,0.1,200,44.0,0.935,0.79,8.3,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,2,proportional,cuda,0.00025,Adam,2000,0.1,200,40.0,0.955,0.8049999999999999,7.2,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,3,proportional,cuda,0.00025,Adam,3000,0.1,200,33.0,0.985,0.835,6.5,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,4,proportional,cuda,0.00025,Adam,4000,0.1,200,26.0,0.99,0.87,5.6,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,5,proportional,cuda,0.00025,Adam,5000,0.1,200,27.0,0.985,0.865,6.0,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,6,proportional,cuda,0.00025,Adam,6000,0.1,200,25.0,0.975,0.88,6.8,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,7,proportional,cuda,0.00025,Adam,7000,0.1,200,36.0,0.95,0.8200000000000001,7.6,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,8,proportional,cuda,0.00025,Adam,8000,0.1,200,27.0,1.0,0.865,5.4,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,9,proportional,cuda,0.00025,Adam,9000,0.1,200,30.0,0.93,0.85,8.0,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,10,proportional,cuda,0.00025,Adam,10000,0.1,200,32.0,0.99,0.84,5.8,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,11,proportional,cuda,0.00025,Adam,11000,0.1,200,39.0,0.975,0.81,6.5,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,12,proportional,cuda,0.00025,Adam,12000,0.1,200,24.0,0.98,0.885,5.8,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,13,proportional,cuda,0.00025,Adam,13000,0.1,200,28.0,0.985,0.87,5.8,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,14,proportional,cuda,0.00025,Adam,14000,0.1,200,24.0,0.99,0.885,5.7,0.1
5,size_5_size_5_NN_11_epoch_14_memory_proportional_optimizer_Adam__steps_14000_learning_rate_0.00025,15,proportional,cuda,0.00025,Adam,15000,0.1,200,25.0,0.99,0.88,5.9,0.1
